,Apreture,geometry,Rhythm,Hierarchy,light,Fluidity and continuity,Symmetry,Voltage,Transparency,Axis,Pool And porch and dom,Decorating,"Arch,porch and dome","Column and porchin, Windbreaker and sparrow","Corridors,vestibules,subways"
0,SM,1,1,1,1,1,1,0,0,1,1,1,1,1,1
1,SEM,1,1,1,1,0,1,0,0,1,1,1,1,1,1
2,MRMI,1,1,1,1,1,1,0,0,1,1,1,1,1,1
3,RKMI,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,ICBI,1,1,1,1,1,1,0,1,1,1,1,1,1,1
5,HBMT,1,1,0,1,0,1,1,0,0,0,1,1,1,0
6,SJM,1,1,0,1,1,1,1,1,0,1,1,1,1,0
7,ISLM,1,1,1,1,1,1,1,0,1,1,1,1,1,1
8,MY,1,1,1,1,1,1,1,0,1,1,1,1,1,1
9,QGM,1,1,1,1,1,1,0,1,1,1,1,1,1,1
10,JMI,1,1,1,1,1,1,0,1,1,1,1,1,1,1
11,SIM,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,KAGM,1,1,1,1,1,0,1,1,1,1,1,1,1,1
13,AM,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,LMS,1,1,1,1,1,1,0,0,1,1,1,1,1,0
15,NMMS,1,0,1,1,1,1,0,1,1,1,1,1,1,1
16,HM,1,1,0,1,1,1,0,0,0,1,1,1,1,1
17,ZM,1,1,1,0,1,1,1,1,0,1,1,1,1,1
18,TJM,1,1,0,1,1,1,0,1,1,1,1,1,1,1
19,SAM,1,1,1,1,0,1,1,1,1,1,1,1,1,1
20,MMS,1,1,0,0,1,1,1,0,0,1,1,1,1,0
21,TDS,0,1,0,0,1,1,1,1,1,1,1,0,1,0
22,CHAAK,1,1,1,1,0,1,0,0,0,0,0,1,1,0
23,CGKK,1,1,1,1,1,1,1,1,1,1,1,0,1,1
24,SD,0,1,1,0,1,1,0,0,1,1,0,0,1,1
25,CKAY,1,1,0,1,1,1,1,0,1,1,1,1,1,1
26,CRKT,1,1,1,1,1,1,1,0,1,1,1,0,1,1
27,CZS,0,1,0,1,1,1,1,0,1,0,1,0,1,1
28,CSSQ,1,1,0,1,1,1,1,0,1,1,1,1,1,1
29,CZY,0,1,1,1,1,1,1,0,1,1,0,0,0,1
30,CIM,1,1,1,1,1,1,0,0,1,1,1,1,1,1
31,CKAK,0,1,1,1,1,1,1,0,1,1,0,1,1,1
32,CKASM,0,1,0,0,1,1,1,0,0,1,1,1,1,1
33,CTK,1,1,1,1,1,1,1,0,1,1,1,0,0,1
34,CSK,1,1,0,0,1,1,1,0,1,1,1,1,1,1
35,HCGI,1,1,0,0,1,1,1,0,1,1,1,1,1,1
36,CLG,0,1,1,0,1,1,1,0,1,1,1,1,1,1
